source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Wow! -Senator Mark Warner got caught having extensive contact with a lobbyist for a Russian oligarch. Warner did not want a “paper trail” on a “private” meeting (in London) he requested with Steele of fraudulent Dossier fame. All tied into Crooked Hillary.,02-09-2018 03:22:53,37442,117150,false,961802557646569475
Twitter for iPhone,Time to end the visa lottery. Congress must secure the immigration system and protect Americans. https://t.co/yukxm48x9X,02-08-2018 23:26:22,22627,89790,false,961743032952459264
Twitter for iPad,As long as we open our eyes to God’s grace - and open our hearts to God’s love - then America will forever be the land of the free the home of the brave and a light unto all nations. #NationalPrayerBreakfast https://t.co/1cwxs3l0uK,02-08-2018 20:10:58,28612,100587,false,961693860916289536
Twitter for iPhone,I will be meeting with Henry Kissinger at 1:45pm. Will be discussing North Korea China and the Middle East.,02-08-2018 18:44:00,13035,74232,false,961671974153080834
Twitter for iPad,Our founders invoked our Creator four times in the Declaration of Independence. Our currency declares “IN GOD WE TRUST.” And we place our hands on our hearts as we recite the Pledge of Allegiance and proclaim that we are “One Nation Under God.” #NationalPrayerBreakfast https://t.co/zukP40Ezpo,02-08-2018 17:13:13,27500,98744,false,961649129834283008
Twitter for iPhone,Will be heading over shortly to make remarks at The National Prayer Breakfast in Washington. Great religious and political leaders and many friends including T.V. producer Mark Burnett of our wonderful 14 season Apprentice triumph will be there. Looking forward to seeing all!,02-08-2018 11:08:39,17544,102032,false,961557382387167238
Twitter for iPhone,The Budget Agreement today is so important for our great Military. It ends the dangerous sequester and gives Secretary Mattis what he needs to keep America Great. Republicans and Democrats must support our troops and support this Bill!,02-07-2018 22:36:15,22853,105478,false,961368036782628864
Media Studio,Congratulations to the Republic of Korea on what will be a MAGNIFICENT Winter Olympics! What the South Korean people have built is truly an inspiration! https://t.co/giN2B1h6Ph,02-07-2018 22:13:16,12919,66759,false,961362249880252416
Media Studio,Best wishes to the Republic of Korea on hosting the @Olympics! What a wonderful opportunity to show everyone that you are a truly GREAT NATION! https://t.co/aboM2Up48y,02-07-2018 18:01:05,12406,62229,false,961298788219420672
Twitter for iPhone,NEW FBI TEXTS ARE BOMBSHELLS!,02-07-2018 16:10:00,39665,135039,false,961270833569202176
Twitter for iPhone,In the “old days” when good news was reported the Stock Market would go up. Today when good news is reported the Stock Market goes down. Big mistake and we have so much good (great) news about the economy!,02-07-2018 14:59:49,21639,109138,false,961253168968622086
Twitter for iPhone,Congratulations @ElonMusk and @SpaceX on the successful #FalconHeavy launch. This achievement along with @NASA’s commercial and international partners continues to show American ingenuity at its best! https://t.co/eZfLSpyJPK,02-07-2018 03:05:45,31246,163290,false,961073467784421382
Twitter for iPhone,HAPPY BIRTHDAY to our 40th President of the United States of America Ronald Reagan! https://t.co/JtEglBhm4c,02-07-2018 00:48:01,32645,177415,false,961038807658352640
Media Studio,Today we heard the experiences of law enforcement professionals and community leaders working to combat the threat of MS-13 and the reforms we need from Congress to defeat it. Watch here: https://t.co/VPMTnko7Ik https://t.co/4OaXXuj9Va,02-06-2018 22:45:50,18203,73821,false,961008057756127232
Twitter for iPhone,We need a 21st century MERIT-BASED immigration system.  Chain migration and the visa lottery are outdated programs that hurt our economic and national security. https://t.co/rP9Gtr2E5N,02-06-2018 16:05:42,25468,90472,false,960907362109452288
