"","TimeSeries","BroadcastTime","Transcript","TweetTime","Tweet","RTCount","IsRetweet","IsInfluenced"
"1",2018-02-01 00:00:00,"","","","","","",""
"2",2018-02-01 00:01:00,"","","","","","",""
"3",2018-02-01 00:02:00,"","","","","","",""
"4",2018-02-01 00:03:00,"","","","","","",""
"5",2018-02-01 00:04:00,"","","","","","",""
"6",2018-02-01 00:05:00,"","","","","","",""
"7",2018-02-01 00:06:00,"","","","","","",""
"8",2018-02-01 00:07:00,"","","","","","",""
"9",2018-02-01 00:08:00,"","","","","","",""
"10",2018-02-01 00:09:00,"","","","","","",""
"11",2018-02-01 00:10:00,"","","","","","",""
"12",2018-02-01 00:11:00,"","","","","","",""
"13",2018-02-01 00:12:00,"","","","","","",""
"14",2018-02-01 00:13:00,"","","","","","",""
"15",2018-02-01 00:14:00,"","","","","","",""
"16",2018-02-01 00:15:00,"","","","","","",""
"17",2018-02-01 00:16:00,"","","","","","",""
"18",2018-02-01 00:17:00,"","","","","","",""
"19",2018-02-01 00:18:00,"","","","","","",""
"20",2018-02-01 00:19:00,"","","","","","",""
"21",2018-02-01 00:20:00,"","","","","","",""
"22",2018-02-01 00:21:00,"","","","","","",""
"23",2018-02-01 00:22:00,"","","","","","",""
"24",2018-02-01 00:23:00,"","","","","","",""
"25",2018-02-01 00:24:00,"","","","","","",""
"26",2018-02-01 00:25:00,"","","","","","",""
"27",2018-02-01 00:26:00,"","","","","","",""
"28",2018-02-01 00:27:00,"","","","","","",""
"29",2018-02-01 00:28:00,"","","","","","",""
"30",2018-02-01 00:29:00,"","","","","","",""
"31",2018-02-01 00:30:00,"","","","","","",""
"32",2018-02-01 00:31:00,"","","","","","",""
"33",2018-02-01 00:32:00,"","","","","","",""
"34",2018-02-01 00:33:00,"","","","","","",""
"35",2018-02-01 00:34:00,"","","","","","",""
"36",2018-02-01 00:35:00,"","","","","","",""
"37",2018-02-01 00:36:00,"","","","","","",""
"38",2018-02-01 00:37:00,"","","","","","",""
"39",2018-02-01 00:38:00,"","","","","","",""
"40",2018-02-01 00:39:00,"","","","","","",""
"41",2018-02-01 00:40:00,"","","","","","",""
"42",2018-02-01 00:41:00,"","","","","","",""
"43",2018-02-01 00:42:00,"","","","","","",""
"44",2018-02-01 00:43:00,"","","","","","",""
"45",2018-02-01 00:44:00,"","","","","","",""
"46",2018-02-01 00:45:00,"","","","","","",""
"47",2018-02-01 00:46:00,"","","","","","",""
"48",2018-02-01 00:47:00,"","","","","","",""
"49",2018-02-01 00:48:00,"","","","","","",""
"50",2018-02-01 00:49:00,"","","","","","",""
"51",2018-02-01 00:50:00,"","","","","","",""
"52",2018-02-01 00:51:00,"","","","","","",""
"53",2018-02-01 00:52:00,"","","","","","",""
"54",2018-02-01 00:53:00,"","","","","","",""
"55",2018-02-01 00:54:00,"","","","","","",""
"56",2018-02-01 00:55:00,"","","","","","",""
"57",2018-02-01 00:56:00,"","","","","","",""
"58",2018-02-01 00:57:00,"","","","","","",""
"59",2018-02-01 00:58:00,"","","","","","",""
"60",2018-02-01 00:59:00,"","","","","","",""
"61",2018-02-01 01:00:00,"","","","","","",""
"62",2018-02-01 01:01:00,"","","","","","",""
"63",2018-02-01 01:02:00,"","","","","","",""
"64",2018-02-01 01:03:00,"","","","","","",""
"65",2018-02-01 01:04:00,"","","","","","",""
"66",2018-02-01 01:05:00,"","","","","","",""
"67",2018-02-01 01:06:00,"","","","","","",""
"68",2018-02-01 01:07:00,"","","","","","",""
"69",2018-02-01 01:08:00,"","","","","","",""
"70",2018-02-01 01:09:00,"","","","","","",""
"71",2018-02-01 01:10:00,"","","","","","",""
"72",2018-02-01 01:11:00,"","","","","","",""
"73",2018-02-01 01:12:00,"","","","","","",""
"74",2018-02-01 01:13:00,"","","","","","",""
"75",2018-02-01 01:14:00,"","","","","","",""
"76",2018-02-01 01:15:00,"","","","","","",""
"77",2018-02-01 01:16:00,"","","","","","",""
"78",2018-02-01 01:17:00,"","","","","","",""
"79",2018-02-01 01:18:00,"","","","","","",""
"80",2018-02-01 01:19:00,"","","","","","",""
"81",2018-02-01 01:20:00,"","","","","","",""
"82",2018-02-01 01:21:00,"","","","","","",""
"83",2018-02-01 01:22:00,"","","","","","",""
"84",2018-02-01 01:23:00,"","","","","","",""
"85",2018-02-01 01:24:00,"","","","","","",""
"86",2018-02-01 01:25:00,"","","","","","",""
"87",2018-02-01 01:26:00,"","","","","","",""
"88",2018-02-01 01:27:00,"","","","","","",""
"89",2018-02-01 01:28:00,"","","","","","",""
"90",2018-02-01 01:29:00,"","","","","","",""
"91",2018-02-01 01:30:00,"","","","","","",""
"92",2018-02-01 01:31:00,"","","","","","",""
"93",2018-02-01 01:32:00,"","","","","","",""
"94",2018-02-01 01:33:00,"","","","","","",""
"95",2018-02-01 01:34:00,"","","","","","",""
"96",2018-02-01 01:35:00,"","","","","","",""
"97",2018-02-01 01:36:00,"","","","","","",""
"98",2018-02-01 01:37:00,"","","","","","",""
"99",2018-02-01 01:38:00,"","","","","","",""
"100",2018-02-01 01:39:00,"","","","","","",""
"101",2018-02-01 01:40:00,"","","","","","",""
"102",2018-02-01 01:41:00,"","","","","","",""
"103",2018-02-01 01:42:00,"","","","","","",""
"104",2018-02-01 01:43:00,"","","","","","",""
"105",2018-02-01 01:44:00,"","","","","","",""
"106",2018-02-01 01:45:00,"","","","","","",""
"107",2018-02-01 01:46:00,"","","","","","",""
"108",2018-02-01 01:47:00,"","","","","","",""
"109",2018-02-01 01:48:00,"","","","","","",""
"110",2018-02-01 01:49:00,"","","","","","",""
"111",2018-02-01 01:50:00,"","","","","","",""
"112",2018-02-01 01:51:00,"","","","","","",""
"113",2018-02-01 01:52:00,"","","","","","",""
"114",2018-02-01 01:53:00,"","","","","","",""
"115",2018-02-01 01:54:00,"","","","","","",""
"116",2018-02-01 01:55:00,"","","","","","",""
"117",2018-02-01 01:56:00,"","","","","","",""
"118",2018-02-01 01:57:00,"","","","","","",""
"119",2018-02-01 01:58:00,"","","","","","",""
"120",2018-02-01 01:59:00,"","","","","","",""
"121",2018-02-01 02:00:00,"","","","","","",""
"122",2018-02-01 02:01:00,"","","","","","",""
"123",2018-02-01 02:02:00,"","","","","","",""
"124",2018-02-01 02:03:00,"","","","","","",""
"125",2018-02-01 02:04:00,"","","","","","",""
"126",2018-02-01 02:05:00,"","","","","","",""
"127",2018-02-01 02:06:00,"","","","","","",""
"128",2018-02-01 02:07:00,"","","","","","",""
"129",2018-02-01 02:08:00,"","","","","","",""
"130",2018-02-01 02:09:00,"","","","","","",""
"131",2018-02-01 02:10:00,"","","","","","",""
"132",2018-02-01 02:11:00,"","","","","","",""
"133",2018-02-01 02:12:00,"","","","","","",""
"134",2018-02-01 02:13:00,"","","","","","",""
"135",2018-02-01 02:14:00,"","","","","","",""
"136",2018-02-01 02:15:00,"","","","","","",""
"137",2018-02-01 02:16:00,"","","","","","",""
"138",2018-02-01 02:17:00,"","","","","","",""
"139",2018-02-01 02:18:00,"","","","","","",""
"140",2018-02-01 02:19:00,"","","","","","",""
"141",2018-02-01 02:20:00,"","","","","","",""
"142",2018-02-01 02:21:00,"","","","","","",""
"143",2018-02-01 02:22:00,"","","","","","",""
"144",2018-02-01 02:23:00,"","","","","","",""
"145",2018-02-01 02:24:00,"","","","","","",""
"146",2018-02-01 02:25:00,"","","","","","",""
"147",2018-02-01 02:26:00,"","","","","","",""
"148",2018-02-01 02:27:00,"","","","","","",""
"149",2018-02-01 02:28:00,"","","","","","",""
"150",2018-02-01 02:29:00,"","","","","","",""
"151",2018-02-01 02:30:00,"","","","","","",""
"152",2018-02-01 02:31:00,"","","","","","",""
"153",2018-02-01 02:32:00,"","","","","","",""
"154",2018-02-01 02:33:00,"","","","","","",""
"155",2018-02-01 02:34:00,"","","","","","",""
"156",2018-02-01 02:35:00,"","","","","","",""
"157",2018-02-01 02:36:00,"","","","","","",""
"158",2018-02-01 02:37:00,"","","","","","",""
"159",2018-02-01 02:38:00,"","","","","","",""
"160",2018-02-01 02:39:00,"","","","","","",""
"161",2018-02-01 02:40:00,"","","","","","",""
"162",2018-02-01 02:41:00,"","","","","","",""
"163",2018-02-01 02:42:00,"","","","","","",""
"164",2018-02-01 02:43:00,"","","","","","",""
"165",2018-02-01 02:44:00,"","","","","","",""
"166",2018-02-01 02:45:00,"","","","","","",""
"167",2018-02-01 02:46:00,"","","","","","",""
"168",2018-02-01 02:47:00,"","","","","","",""
"169",2018-02-01 02:48:00,"","","","","","",""
"170",2018-02-01 02:49:00,"","","","","","",""
"171",2018-02-01 02:50:00,"","","","","","",""
"172",2018-02-01 02:51:00,"","","","","","",""
"173",2018-02-01 02:52:00,"","","","","","",""
"174",2018-02-01 02:53:00,"","","","","","",""
"175",2018-02-01 02:54:00,"","","","","","",""
"176",2018-02-01 02:55:00,"","","","","","",""
"177",2018-02-01 02:56:00,"","","","","","",""
"178",2018-02-01 02:57:00,"","","","","","",""
"179",2018-02-01 02:58:00,"","","","","","",""
"180",2018-02-01 02:59:00,"","","","","","",""
"181",2018-02-01 03:00:00,"","","","","","",""
"182",2018-02-01 03:01:00,"","","","","","",""
"183",2018-02-01 03:02:00,"","","","","","",""
"184",2018-02-01 03:03:00,"","","","","","",""
"185",2018-02-01 03:04:00,"","","","","","",""
"186",2018-02-01 03:05:00,"","","","","","",""
"187",2018-02-01 03:06:00,"","","","","","",""
"188",2018-02-01 03:07:00,"","","","","","",""
"189",2018-02-01 03:08:00,"","","","","","",""
"190",2018-02-01 03:09:00,"","","","","","",""
"191",2018-02-01 03:10:00,"","","","","","",""
"192",2018-02-01 03:11:00,"","","","","","",""
"193",2018-02-01 03:12:00,"","","","","","",""
"194",2018-02-01 03:13:00,"","","","","","",""
"195",2018-02-01 03:14:00,"","","","","","",""
"196",2018-02-01 03:15:00,"","","","","","",""
"197",2018-02-01 03:16:00,"","","","","","",""
"198",2018-02-01 03:17:00,"","","","","","",""
"199",2018-02-01 03:18:00,"","","","","","",""
"200",2018-02-01 03:19:00,"","","","","","",""
"201",2018-02-01 03:20:00,"","","","","","",""
"202",2018-02-01 03:21:00,"","","","","","",""
"203",2018-02-01 03:22:00,"","","","","","",""
"204",2018-02-01 03:23:00,"","","","","","",""
"205",2018-02-01 03:24:00,"","","","","","",""
"206",2018-02-01 03:25:00,"","","","","","",""
"207",2018-02-01 03:26:00,"","","","","","",""
"208",2018-02-01 03:27:00,"","","","","","",""
"209",2018-02-01 03:28:00,"","","","","","",""
"210",2018-02-01 03:29:00,"","","","","","",""
"211",2018-02-01 03:30:00,"","","","","","",""
"212",2018-02-01 03:31:00,"","","","","","",""
"213",2018-02-01 03:32:00,"","","","","","",""
"214",2018-02-01 03:33:00,"","","","","","",""
"215",2018-02-01 03:34:00,"","","","","","",""
"216",2018-02-01 03:35:00,"","","","","","",""
"217",2018-02-01 03:36:00,"","","","","","",""
"218",2018-02-01 03:37:00,"","","","","","",""
"219",2018-02-01 03:38:00,"","","","","","",""
"220",2018-02-01 03:39:00,"","","","","","",""
"221",2018-02-01 03:40:00,"","","","","","",""
"222",2018-02-01 03:41:00,"","","","","","",""
"223",2018-02-01 03:42:00,"","","","","","",""
"224",2018-02-01 03:43:00,"","","","","","",""
"225",2018-02-01 03:44:00,"","","","","","",""
"226",2018-02-01 03:45:00,"","","","","","",""
"227",2018-02-01 03:46:00,"","","","","","",""
"228",2018-02-01 03:47:00,"","","","","","",""
"229",2018-02-01 03:48:00,"","","","","","",""
"230",2018-02-01 03:49:00,"","","","","","",""
"231",2018-02-01 03:50:00,"","","","","","",""
"232",2018-02-01 03:51:00,"","","","","","",""
"233",2018-02-01 03:52:00,"","","","","","",""
"234",2018-02-01 03:53:00,"","","","","","",""
"235",2018-02-01 03:54:00,"","","","","","",""
"236",2018-02-01 03:55:00,"","","","","","",""
"237",2018-02-01 03:56:00,"","","","","","",""
"238",2018-02-01 03:57:00,"","","","","","",""
"239",2018-02-01 03:58:00,"","","","","","",""
"240",2018-02-01 03:59:00,"","","","","","",""
